source_speaker,target_speaker,ref_file,ref_content,gen_file,gen_content,score
p226,p225,../baseline_data/source/p226-val/103.wav, i am pleased with the result as it was a possible upset she has been shot our numbers are small,../baseline_data/converted/p226/103.wav, i am pleased with the result as it was a possible upset she has been shot our numbers are small,100.0
p226,p225,../baseline_data/source/p226-val/104.wav, help is needed it would still have been a good film but very different the results are sometimes contentious,../baseline_data/converted/p226/104.wav, help is needed it would still have been a good film but very different the results are sometimes contentious,100.0
p226,p225,../baseline_data/source/p226-val/105.wav, that could mean the difference between life and death in action i have no sympathy with her at all,../baseline_data/converted/p226/105.wav, that could mean the difference between life and death in action i have no sympathy with her at all,100.0
p226,p225,../baseline_data/source/p226-val/106.wav, i was at the british olympic medical centre on friday he also insisted that no concessions had been made,../baseline_data/converted/p226/106.wav, i was at the british olympic medical centre on friday he also insisted that no concessions had been made,100.0
p226,p225,../baseline_data/source/p226-val/107.wav, the french it is a terrible place he had no enemies i took the gun it is a mark of respect,../baseline_data/converted/p226/107.wav, to the french this is a terrible place he had no enemies i took the gun it is a mark of respect,77.27273
p227,p228,../baseline_data/source/p227-val/1.wav, they could use a boost stephen will get his first cap others have tried to explain the phenomenon,../baseline_data/converted/p227/1.wav, they could use a boost stephen will get his first cap others have tried to explain the phenomenon,100.0
p227,p228,../baseline_data/source/p227-val/10.wav, she took them for a term that is very hard alone it is a terrible equation i've,../baseline_data/converted/p227/10.wav, she took them for a turn that is very hard alone it is a terrible equation i've,82.35294
p227,p228,../baseline_data/source/p227-val/100.wav, it does not work that way in scottish football three weeks later he resigned i'm interested,../baseline_data/converted/p227/100.wav, it does not work that way in scottish football three weeks later he resigned i'm interested,100.0
p227,p228,../baseline_data/source/p227-val/101.wav, in interesting work it was forced to divert the rate of growth in road traffic is already beginning to slow,../baseline_data/converted/p227/101.wav, in interesting work it was forced to divert the rate of growth in road traffic is already beginning to slow,90.0
p227,p228,../baseline_data/source/p227-val/102.wav, after the match do you? five minutes later the home team were back in front we need to be prepared,../baseline_data/converted/p227/102.wav, after the match two five minutes later the home team were back in front we need to be prepared,85.0
p227,p228,../baseline_data/source/p227-val/103.wav, i have proved that in the past he would discuss the peace process in northern ireland so i got a blood test,../baseline_data/converted/p227/103.wav, i have proved that in the past he would discuss the peace process in northern ireland so i got a blood test,86.36364
p227,p228,../baseline_data/source/p227-val/104.wav, test this court has made an order which has not been observed it is a court case they were seriously after him,../baseline_data/converted/p227/104.wav, this cart has made an order which has not been observed it is a cart case they were seriously after him,81.81818
p227,p228,../baseline_data/source/p227-val/105.wav, they would now be able to look forward with confidence however this move is dependent upon the sale of,../baseline_data/converted/p227/105.wav, they would now be able to look forward with confidence however this move is dependent upon the sale of,100.0
p227,p228,../baseline_data/source/p227-val/106.wav, the existing site i'm just a regular person her appeal is to be heard this week the greeks used to imagine,../baseline_data/converted/p227/106.wav, the existing site i'm just a regular person her appeal is to be heard this week the greeks used to imagine,90.47619
p227,p228,../baseline_data/source/p227-val/107.wav, that it was a sign from the god to foretell war or heavy rain there was a final revealing detail about the broad,../baseline_data/converted/p227/107.wav, that it was a sign from the god to foretell war or heavy rain there was a final revealing detail about the brooch,82.6087
p228,p227,../baseline_data/source/p228-val/1.wav, ask her to bring these things with her from the store it's not long enough there is no signature,../baseline_data/converted/p228/1.wav, ask her to bring these things with her from the store it's not long enough there is no signature,94.73684
p228,p227,../baseline_data/source/p228-val/10.wav, charles kennedy had an effective outing by that time however it was already too late,../baseline_data/converted/p228/10.wav, charles kennedy had an effective outing by that time however it was already too late,100.0
p228,p227,../baseline_data/source/p228-val/100.wav, they've got three quarters of the way it is a good day for the coalition everyone was in tears,../baseline_data/converted/p228/100.wav, we've got three quarters of the way it is a good day for the coalition everyone was in tears,89.47368
p228,p227,../baseline_data/source/p228-val/101.wav, if the red of the second bow falls upon the green of the first the result is to give a bow,../baseline_data/converted/p228/101.wav, if the red of the second bow falls upon the green of the first the result is to give a bow,71.42857
p228,p227,../baseline_data/source/p228-val/102.wav, with an abnormally wide yellow band since red and green light when mixed form yellow,../baseline_data/converted/p228/102.wav, with an abnormally wide yellow band since red and green light when mixed form yellow,93.33333
p228,p227,../baseline_data/source/p228-val/103.wav, tiger is the exception we have to create a climate of trust which is not easy,../baseline_data/converted/p228/103.wav, tiger is the exception we have to create a climate of trust which is not easy,93.75
p228,p227,../baseline_data/source/p228-val/104.wav, however they will only be found in the wild the same things will happen with gm foods,../baseline_data/converted/p228/104.wav, however they will only be found in the wild the same things will happen with gm foods,88.23529
p228,p227,../baseline_data/source/p228-val/105.wav, we must provide a long-term solution to tackle this attitude a few days after making the video,../baseline_data/converted/p228/105.wav, we must provide a long-term solution to tackle this attitude a few days after making the video,94.11765
p228,p227,../baseline_data/source/p228-val/106.wav, i went to the inquiry it was clear that oil companies would be asked to contribute,../baseline_data/converted/p228/106.wav, i went to the inquiry it was clear that oil companies would be asked to contribute,93.75
p228,p227,../baseline_data/source/p228-val/107.wav, but it might have done meanwhile the scottish consumer council yesterday offered support for the new bill,../baseline_data/converted/p228/107.wav, but it might have done meanwhile the scottish consumer council yesterday offered support to the new bill,88.23529
p223,p243,../baseline_data/source/p232-val/1.wav, you do not change overnight we knew nothing about it the group is due to publish its report in the autumn we are in the endgame,../baseline_data/converted/p232/1.wav, you do not change overnight we knew nothing about it the group is due to publish its report in the autumn we are in the endgame,84.61538
p223,p243,../baseline_data/source/p232-val/10.wav, now the system is right behind us this obsession wasn't just contained within the world of the losers it was mayhem,../baseline_data/converted/p232/10.wav, now the system is right behind us this obsession wasn't just contained within the world of the losers it was mayhem,90.47619
p223,p243,../baseline_data/source/p232-val/100.wav, it's a record label not a form of music the record companies have gone through the floor i don't want to have a fight with mr hastings,../baseline_data/converted/p232/100.wav, it's a record label not a form of music the record companies have gone through the floor i do not want to have a fight with mr hastings,75.0
p223,p243,../baseline_data/source/p232-val/101.wav, we should have known i am pleased with the result as it was a possible upset the scene is about this what was the main difference?,../baseline_data/converted/p232/101.wav, we should have known i am pleased with the result as it was a possible upset the scene is about this what was the main difference?,88.46154
p223,p243,../baseline_data/source/p232-val/102.wav, perhaps it's because i haven't finished the first two races waiting times for these services are too long they also recovered a picture of osama bin laden,../baseline_data/converted/p232/102.wav, perhaps it's because i haven't finished the first two races waiting times for these services are too long the osmo recovered a picture of osama bin laden,92.59259
p223,p243,../baseline_data/source/p232-val/103.wav, but it took a lot of bottle i tried to be cautious but it's hard in that role it is long gone today i couldn't run on it,../baseline_data/converted/p232/103.wav, but it took a lot of bottles i tried to be cautious but it's hard in that role it is long gone today i couldn't run on it,82.14286
p223,p243,../baseline_data/source/p232-val/104.wav, we will push five members were disciplined like his acting it was an accident i have every confidence in raymond robertson as chairman of the party,../baseline_data/converted/p232/104.wav, we will push five members were disciplined like his acting it was an accident i have every confidence in raymond robertson as chairman of the party,100.0
p223,p243,../baseline_data/source/p232-val/105.wav, she has every confidence in his performance of his duties local managers are already involved in talks with potential investors,../baseline_data/converted/p232/105.wav, she has every confidence in his performance of his duties local managers are already involved in talks with potential investors,90.0
p223,p243,../baseline_data/source/p232-val/106.wav, it was fit for royalty it's a mixture of everything you had better believe it finally he paid for the movie,../baseline_data/converted/p232/106.wav, it was fit for royalty it's a mixture of everything you had better believe it finally he paid for the movie,90.47619
p223,p243,../baseline_data/source/p232-val/107.wav, but it may take some time to confirm the findings davis is very supportive as a director it's too early to say whether a public inquiry would be appropriate,../baseline_data/converted/p232/107.wav, but it may take some time to confirm the findings davis is very supportive as a director it's too early to say whether a public inquiry would be appropriate,93.10345
p243,p232,../baseline_data/source/p243-val/1.wav, who would discuss the peace process in northern ireland therefore no one can work full time in these companies,../baseline_data/converted/p243/1.wav, he would discuss the peace process in northern ireland therefore no one can work full-time in these companies,78.94737
p243,p232,../baseline_data/source/p243-val/10.wav, they can break quickly from midfield and carry a scoring threat and they were being paid rangers then had a couple,../baseline_data/converted/p243/10.wav, they can break quickly from midfield and carry a scoring threat and they were being paid? rangers then had a couple,80.95238
p243,p232,../baseline_data/source/p243-val/100.wav, even if he doesn't have any lines after the match do you? we still think this trade is on the increase,../baseline_data/converted/p243/100.wav, even if he doesn't have any lines after the match do you? we still think this trade is on the increase,95.2381
p243,p232,../baseline_data/source/p243-val/101.wav, but the sunday herald said it stood by its story it is not either national standards or local control,../baseline_data/converted/p243/101.wav, but the sunday herald said it stood by its story it is not either the national standards or local control,90.0
p243,p232,../baseline_data/source/p243-val/102.wav, i want to give everything to rangers while i am with the club what do they want us to do? the police insisted that they were a standard issue,../baseline_data/converted/p243/102.wav, i want to give everything to rangers while i am with the club what do they want us to do? the police insisted that they were a standard issue,79.31034
p243,p232,../baseline_data/source/p243-val/103.wav, his style was direct and very human he remains a main board director of royal the actual,../baseline_data/converted/p243/103.wav, his style was direct and very human he remains a main board director of royal the actual,100.0
p243,p232,../baseline_data/source/p243-val/104.wav, primary rainbow observed is said to be the effect of super imposition of a number of bows,../baseline_data/converted/p243/104.wav, primary rainbow observed is said to be the effect of super imposition of a number of bows sports secretary,78.94737
p243,p232,../baseline_data/source/p243-val/105.wav, chris smith welcomed the action people have a wish to charge twice i'm extremely confident something will happen,../baseline_data/converted/p243/105.wav, chris smith welcome to the action people have a wish to charge twice i'm extremely confident something will happen,89.47368
p243,p232,../baseline_data/source/p243-val/106.wav, within the next couple of days this is a young squad and we're all supporters they would now be able to look,../baseline_data/converted/p243/106.wav, within the next couple of days this is a young squad and we're all supporters they would now be able to look for,95.65217
p243,p232,../baseline_data/source/p243-val/107.wav, forward with confidence we just want this season to end celtic have a great base of travelling,../baseline_data/converted/p243/107.wav, forward with confidence we just want this season to end celtic have a great base of travelling,100.0
p233,p231,../baseline_data/source/p233-val/1.wav, the talks were announced yesterday by brian wilson the foreign office minister the big issue is whether it can be informed,../baseline_data/converted/p233/1.wav, the talks were announced yesterday by brian wilson the foreign office minister the big issue is whether it can be enforced,85.71429
p233,p231,../baseline_data/source/p233-val/10.wav, you had better believe it he may need it he could make it i was in jail for five years later in the day,../baseline_data/converted/p233/10.wav, you had better believe it he may need it he could make it i was in jail for five years later in the day,83.33333
p233,p231,../baseline_data/source/p233-val/100.wav, bags and we will go meet her wednesday at the train station we have got no money to go anywhere,../baseline_data/converted/p233/100.wav, bikes and we will go meet her wednesday at the train station we've got no money to go anywhere,80.0
p233,p231,../baseline_data/source/p233-val/101.wav, rangers can expect a physical battle in the national stadium tonight last night the move was bitterly denounced,../baseline_data/converted/p233/101.wav, rangers can expect a physical battle in the national stadium tonight last night the move was bitterly denounced,94.44444
p233,p231,../baseline_data/source/p233-val/102.wav, by france telecom the criteria were laid down at the beginning of the season chambers said he would accept the place,../baseline_data/converted/p233/102.wav, by france telecom the criteria were laid down at the beginning of the season chambers said he would accept the place,85.71429
p233,p231,../baseline_data/source/p233-val/103.wav, he will feel the pain again it would be a last resort like his acting it was an accident i was ready to shoot the day i read,../baseline_data/converted/p233/103.wav, he will feel the pain again it would be a lost resort blake is acting it was an accident i was ready to shoot the day i read the letter,70.0
p233,p231,../baseline_data/source/p233-val/104.wav, the screenplay i feel like my game has come a long way initial reports said the aircraft had experienced a loss of,../baseline_data/converted/p233/104.wav, screenplay i feel like my game has come a long way initial reports said the aircraft had experienced a loss of,90.90909
p233,p231,../baseline_data/source/p233-val/105.wav, power it was a virus it is still too early for any likely contenders to have emerged this time,../baseline_data/converted/p233/105.wav, power it was a virus it is still too early for any likely contenders to have emerged this time,94.73684
p233,p231,../baseline_data/source/p233-val/106.wav, it might be for real in the meantime the fans would settle for a derby win however the following year the cancer returned,../baseline_data/converted/p233/106.wav, it might be for real in the meantime the fans would settle for a derby win however the following year the cancer returned,82.6087
p233,p231,../baseline_data/source/p233-val/107.wav, their findings are published in the journal injury prevention counsellors are expected to take a decision within the next few weeks,../baseline_data/converted/p233/107.wav, their findings are published in the journal injury prevention councillors are expected to take a decision within the next few weeks,85.71429
p231,p233,../baseline_data/source/p231-val/106.wav, we could have look at the liberal democrats but i know the course last year i was pretty bad there is a solution she believed,../baseline_data/converted/p231/106.wav, we could have look at the liberal democrats but i know the course last year i was pretty bad there's a solution she believed,84.0
p231,p233,../baseline_data/source/p231-val/1.wav, was it the wife? these figures are truly terrible she has reached the top of her profession mr blair last night attended his weekly audience with the queen,../baseline_data/converted/p231/1.wav, was it the wife? these figures are truly terrible she has reached the top of her profession mr blair last night attended his weekly audience with the queen,92.85714
p231,p233,../baseline_data/source/p231-val/105.wav, a win is a win had this been common practice? my aim is a top six finish then again,../baseline_data/converted/p231/105.wav, a win is a win had to spin come and practice my aim is a top six finish then again,55.0
p231,p233,../baseline_data/source/p231-val/104.wav, it is a mark of respect from the inmates i won't make an official complaint is there a waiting list?,../baseline_data/converted/p231/104.wav, it is a mark of respect from the inmates i won't make an official complaint is there a waiting list?,90.0
p231,p233,../baseline_data/source/p231-val/100.wav, have a look at this slot if we cannot succeed in this endeavour then so be it we put our bid in last night,../baseline_data/converted/p231/100.wav, have a look at this slot if we cannot succeed in this endeavour then so be it we put our bid in last night,87.5
p231,p233,../baseline_data/source/p231-val/101.wav, we want to play at the worlds i became a widow overnight today he is in the same position as four years ago,../baseline_data/converted/p231/101.wav, we want to play at the wolves i became a widow overnight today he is in the same position as four years ago,91.30435
p231,p233,../baseline_data/source/p231-val/107.wav, the internet is no substitute for customer service he was in great spirits i'd never run for them,../baseline_data/converted/p231/107.wav, the internet is no substitute for customer service he was in great spirits i'd never run for them,94.44444
p231,p233,../baseline_data/source/p231-val/102.wav, new year will be very busy it gave no further details we live by the rule of law,../baseline_data/converted/p231/102.wav, new year will be very busy i gave no further details we live by the rule of law,94.44444
p231,p233,../baseline_data/source/p231-val/10.wav, patterson can afford to be generous it is too pretty it is too small lord macdonald has worked on this deal for three months,../baseline_data/converted/p231/10.wav, patterson can afford to be generous it is too pretty it is too small lord macdonald has worked on this deal for three months,87.5
p231,p233,../baseline_data/source/p231-val/103.wav, there's nothing we could do about this pupils were allowed home at lunchtime what do we want to do that for?,../baseline_data/converted/p231/103.wav, there's nothing we could do about this people's allowed home at lunchtime what do you want to do that for?,76.19048
p254,p256,../baseline_data/source/p254-val/1.wav, my office is bare it is long gone i would have loved to play in an old firm is a drug dealer last weekend in germany he missed the cut,../baseline_data/converted/p254/1.wav, my office is bare it is long gone i would have loved to play in the north he's a drug dealer last weekend in germany he missed the cut,80.0
p254,p256,../baseline_data/source/p254-val/10.wav, it has moved on in the last week but it failed if it doesn't it doesn't it plans to return to this field,../baseline_data/converted/p254/10.wav, it has moved on in the last week but it failed if it doesn't it doesn't it plans to return to this field,73.91304
p254,p256,../baseline_data/source/p254-val/100.wav, this is a very common type of bow one showing mainly red and yellow with little or no green or blue,../baseline_data/converted/p254/100.wav, this is a very common type of poop one showing mainly red and yellow with little or no green or blue,90.47619
p254,p256,../baseline_data/source/p254-val/101.wav, we played them off the pitch it is not like working for a living there was an email that time has passed yet the data is compelling,../baseline_data/converted/p254/101.wav, we played them off the pitch it is not like working for a living there was an email that time has passed yet the data is compelling,92.59259
p254,p256,../baseline_data/source/p254-val/102.wav, they might be broken but they are not defeated there is no league it was a great achievement to win at wembley,../baseline_data/converted/p254/102.wav, they might be broken but they are not defeated there is no league it was a great achievement to win at wembley,95.45455
p254,p256,../baseline_data/source/p254-val/103.wav, he thought he had a month to cross the street but it was a pleasure it's all going to clear the debt,../baseline_data/converted/p254/103.wav, he thought he had a month to cross the street but it was a pleasure it's all going to clear the day painful,73.91304
p254,p256,../baseline_data/source/p254-val/104.wav, but only because it's true we're in the premier division and we intend to stay there i can lead by example,../baseline_data/converted/p254/104.wav, but only because it's true we're in the premier division and we intend to state i can lead by example,90.47619
p254,p256,../baseline_data/source/p254-val/105.wav, these take the shape of a long round arch with its path high above and its two ends apparently beyond the horizon,../baseline_data/converted/p254/105.wav, these take the shape of a long round arch with its path high above and its two ends apparently beyond the horizon,90.90909
p254,p256,../baseline_data/source/p254-val/106.wav, who can predict he felt that everything that was said about asylum seekers was negative i was totally wrong,../baseline_data/converted/p254/106.wav, who can predict he felt that everything that was said about asylum seekers was negative i was totally wrong,84.21053
p254,p256,../baseline_data/source/p254-val/107.wav, washington is consumed by the crisis there was no option there is a battle there it's now down in black and white,../baseline_data/converted/p254/107.wav, washington is consumed by the crisis there was no option there was a battle there it's now down in black and white,86.36364
p256,p254,../baseline_data/source/p256-val/106.wav, that will come after the game on saturday no meaningful response was issued a council spokesman,../baseline_data/converted/p256/106.wav, that will come after the game on saturday no meaningful response was issued a council spokesman,100.0
p256,p254,../baseline_data/source/p256-val/1.wav, we could not get any possession the workers do not want to read about their futures in the newspapers,../baseline_data/converted/p256/1.wav, we could not get any possession the workers do not want to read about their futures in the newspapers,89.47368
p256,p254,../baseline_data/source/p256-val/105.wav, it's hard enough for a father anyway and i was forever grateful indeed he does,../baseline_data/converted/p256/105.wav, it's hard enough for a father anyway and i was forever grateful indeed he does,100.0
p256,p254,../baseline_data/source/p256-val/104.wav, would not release any further details about the group frankly we should all have such problems,../baseline_data/converted/p256/104.wav, would not release any further details about the group frankly we should all have such problems,100.0
p256,p254,../baseline_data/source/p256-val/100.wav, child abuse is a dreadful thing she also defended the lord chancellor's existing powers,../baseline_data/converted/p256/100.wav, child abuse is a dreadful thing she also defended the lord chancellor's existing powers,100.0
p256,p254,../baseline_data/source/p256-val/101.wav, the results are sometimes contentious it is hard won we did everything by the book it was,../baseline_data/converted/p256/101.wav, the results are sometimes contentious it is hard one we did everything by the book it was,82.35294
p256,p254,../baseline_data/source/p256-val/107.wav, so that they could not comment on the issue it's a real threat i am an estate agent a labour insider said it was far too close to call,../baseline_data/converted/p256/107.wav, so that they could not comment on the issue it's a real threat i am an estate agent a labour insider said it was far too close to call,96.55172
p256,p254,../baseline_data/source/p256-val/102.wav, by the numbers they are a total disgrace to the loyalist cause he says that he is,data/converted_sound/p256/102.wav, by the numbers they are a total disgrace to the loyalist cause he says that he is no different,78.94737
p256,p254,../baseline_data/source/p256-val/10.wav, it is not just about pay o'neill is caught between a rock and a hard place suddenly the rugby world had changed,../baseline_data/converted/p256/10.wav, it is not just about pay o'neill is caught between a rock and a hard place suddenly the rugby world had changed,90.90909
p256,p254,../baseline_data/source/p256-val/103.wav, from any other man they will run a mile the girls are so lucky to be alive the home office,../baseline_data/converted/p256/103.wav, from any other man they will run a mile the girls are so lucky to be alive the home of,90.0
p229,p230,../baseline_data/source/p229-val/106.wav, we were a load of rubbish the home is now under new management we are looking for perfection,../baseline_data/converted/p229/106.wav, we were a load of rubbish the home was now under new management we are looking for perfection,88.88889
p229,p230,../baseline_data/source/p229-val/1.wav, it was very formal two israeli cabinet ministers were in the building at the time i am very sorry that alistair campbell has taken this decision,../baseline_data/converted/p229/1.wav, it was very formal two israeli cabinet ministers were in the building at the time i'm very sorry that alistair campbell has taken this decision,84.61538
p229,p230,../baseline_data/source/p229-val/105.wav, initial reports said the aircraft had experienced a loss of power the orchestra is quite good but the hall is terrible,../baseline_data/converted/p229/105.wav, initial reports said the aircraft had experienced a loss of power the orchestra is quite good but the hall is terrible,85.71429
p229,p230,../baseline_data/source/p229-val/104.wav, to a minimum we're in the premier division and we intend to stay there the post will be unpaid there is no other solution to congestion in edinburgh,../baseline_data/converted/p229/104.wav, to a minimum we're in the premier division and we intend to stay there the post will be unpaid there is no other solution to congestion in edinburgh,82.14286
p229,p230,../baseline_data/source/p229-val/100.wav, i joined a group at the top of the structure will remain the post of headteacher i'm delighted about that if it doesn't,../baseline_data/converted/p229/100.wav, i joined a group at the top of the structure will remain the post of headteacher i'm delighted about that if it doesn't,86.95652
p229,p230,../baseline_data/source/p229-val/101.wav, it doesn't the report will go before the scottish parliament probably in early autumn the rainbow is a division of white light into many beautiful colours,../baseline_data/converted/p229/101.wav, it doesn't the report will go before the scottish parliament probably in early autumn the rainbow is a division of white light into many beautiful colours,92.30769
p229,p230,../baseline_data/source/p229-val/107.wav, she died in hospital two hours later a labour insider said it was far too close to call he has already suffered a good deal of unwanted attention,../baseline_data/converted/p229/107.wav, she died in hospital two hours later a labour insider said it was far too close to call he has already suffered a good deal of unwanted attention,96.42857
p229,p230,../baseline_data/source/p229-val/102.wav, the problem in norway is outside the national in addition it was in breach of natural justice it works for us,../baseline_data/converted/p229/102.wav, the problem in norway is outside the national in addition it was in breach of natural justice it works for us,80.95238
p229,p230,../baseline_data/source/p229-val/10.wav, she can scoop these things into three red bags and we will go meet her wednesday at the train station the work between the musicians and the,../baseline_data/converted/p229/10.wav, she can scoop these things into three red bags and we will go meet her wednesday at the train station the work between the musicians and the,85.18519
p229,p230,../baseline_data/source/p229-val/103.wav, there is according to legend a boiling pot of gold at one end who would be right? disruption will be kept,../baseline_data/converted/p229/103.wav, there is according to legend a boiling pot of gold at one end who would be right? disruption will be kept,95.2381
p230,p229,../baseline_data/source/p230-val/106.wav, it was an accident six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for,../baseline_data/converted/p230/106.wav, it was an accident six spoons of fresh snow peace five thick slabs of blue cheese and maybe a snack,85.71429
p230,p229,../baseline_data/source/p230-val/1.wav, since then physicists have found that it is not reflection but refraction,../baseline_data/converted/p230/1.wav, since then physicists have found that it is not reflection but refraction,100.0
p230,p229,../baseline_data/source/p230-val/105.wav, this is a true story that has been the easy part the opposite is the case,../baseline_data/converted/p230/105.wav, this is a true story there has been the easy part the opposite is the case like his act,63.15789
p230,p229,../baseline_data/source/p230-val/104.wav, must have been at the bar they are very happy with the new settlement,../baseline_data/converted/p230/104.wav, i must have been at the bar they are very happy with the new settlement,86.66667
p230,p229,../baseline_data/source/p230-val/100.wav, it could take years for the tunnel to be reopened they will run a mile i was just a kid,../baseline_data/converted/p230/100.wav, it could take years for the tunnel to be reopened they will run a mile i was just a kid,95.0
p230,p229,../baseline_data/source/p230-val/101.wav, i'm afraid to say anything no evidence that it was osama bin laden,../baseline_data/converted/p230/101.wav, i'm afraid to say anything no evidence that it was osama bin laden,100.0
p230,p229,../baseline_data/source/p230-val/107.wav, for her brother bob i can hardly believe it we have the mental strength he had suffered a heart attack,../baseline_data/converted/p230/107.wav, for her brother bob i can hardly believe it we have the mental strength he had suffered a heart attack,100.0
p230,p229,../baseline_data/source/p230-val/102.wav, we have to build a new team in the minimum of time consumer confidence remains an issue,../baseline_data/converted/p230/102.wav, we have to build a new team in the minimum of time consumer confidence remains an issue,100.0
p230,p229,../baseline_data/source/p230-val/10.wav, a patent certainly the taliban regime is finished others have tried to explain the phenomenon physically,../baseline_data/converted/p230/10.wav, a patent certainly the taliban regime is finished others have tried to explain the phenomenon physically,93.75
p230,p229,../baseline_data/source/p230-val/103.wav, the announcement was made after inquiries from a national newspaper the casting is as perfect as it can be,../baseline_data/converted/p230/103.wav, the announcement was made after inquiries from a national newspaper the casting is as per,68.42105
