source_speaker,target_speaker,text_id,loss,ref_file,ref_content,gen_file,gen_content,score
p225,p226,1,adv,../project_data/source/p225/95.wav, point of no return i have learned from him it,../project_data/converted/p226/converted_b_adv_1.wav, pointed no return i have learned from him it is not a matter of,64.28571
p226,p225,2,all,../project_data/temp/p226/10.wav, please call stella the weather affected,../project_data/converted/p225/converted_a_all_in_one_2.wav, please call stella the weather effect,83.33333
p226,p225,2,asr,../project_data/temp/p226/10.wav, please call stella the weather affected,../project_data/converted/p225/converted_a_asr_2.wav, and he was like,0.0
p226,p225,2,asr_cyc,../project_data/temp/p226/10.wav, please call stella the weather affected,../project_data/converted/p225/converted_a_asr_cyc_2.wav, please call stella,50.0
p226,p225,2,norm,../project_data/temp/p226/10.wav, please call stella the weather affected,../project_data/converted/p225/converted_a_norm_2.wav, please call stella for weather effects,66.66667
p226,p225,2,norm_cyc,../project_data/temp/p226/10.wav, please call stella the weather affected,../project_data/converted/p225/converted_a_norm_cyc_2.wav, please call stella,50.0
p226,p225,2,adv,../project_data/temp/p226/10.wav, please call stella the weather affected,../project_data/converted/p225/converted_a_adv_2.wav, please call stella,50.0
p225,p226,2,all,../project_data/source/p225/90.wav, there were the unlucky ones scotch beef is,../project_data/converted/p226/converted_b_all_in_one_2.wav, there were the unlucky ones scotch beef,87.5
p225,p226,2,asr,../project_data/source/p225/90.wav, there were the unlucky ones scotch beef is,../project_data/converted/p226/converted_b_asr_2.wav, oh i get it i got this bit i got this bit i got this bit,0.0
p225,p226,2,asr_cyc,../project_data/source/p225/90.wav, there were the unlucky ones scotch beef is,../project_data/converted/p226/converted_b_asr_cyc_2.wav, the worthy and lucky ones scotch beef is,62.5
p225,p226,2,norm,../project_data/source/p225/90.wav, there were the unlucky ones scotch beef is,../project_data/converted/p226/converted_b_norm_2.wav, there were the unlucky ones,62.5
p225,p226,2,norm_cyc,../project_data/source/p225/90.wav, there were the unlucky ones scotch beef is,../project_data/converted/p226/converted_b_norm_cyc_2.wav, the worthy and lucky ones scotch beef,50.0
p225,p226,2,adv,../project_data/source/p225/90.wav, there were the unlucky ones scotch beef is,../project_data/converted/p226/converted_b_adv_2.wav, there were the unlucky ones scotch beef,87.5
p226,p225,3,all,../project_data/source/p226/66.wav, it's like a garage look at the witnesses,../project_data/converted/p225/converted_a_all_in_one_3.wav, it's like a garage look at the witnesses,100.0
p226,p225,3,asr,../project_data/source/p226/66.wav, it's like a garage look at the witnesses,../project_data/converted/p225/converted_a_asr_3.wav, never mind never mind,0.0
p226,p225,3,asr_cyc,../project_data/source/p226/66.wav, it's like a garage look at the witnesses,../project_data/converted/p225/converted_a_asr_cyc_3.wav, it's like a garage look at the witnesses,100.0
p226,p225,3,norm,../project_data/source/p226/66.wav, it's like a garage look at the witnesses,../project_data/converted/p225/converted_a_norm_3.wav, it's like a carriage look at the witnesses,87.5
p226,p225,3,norm_cyc,../project_data/source/p226/66.wav, it's like a garage look at the witnesses,../project_data/converted/p225/converted_a_norm_cyc_3.wav, it's like a garage look at the witnesses,100.0
p226,p225,3,adv,../project_data/source/p226/66.wav, it's like a garage look at the witnesses,../project_data/converted/p225/converted_a_adv_3.wav, it's like a garage look at the witnesses,100.0
p225,p226,3,all,../project_data/source/p225/87.wav, from the consumer back it is the latter which has prompted,../project_data/converted/p226/converted_b_all_in_one_3.wav, from the consumer back it is the latter which has prompted,90.90909
p225,p226,3,asr,../project_data/source/p225/87.wav, from the consumer back it is the latter which has prompted,../project_data/converted/p226/converted_b_asr_3.wav, i love this place,0.0
p225,p226,3,asr_cyc,../project_data/source/p225/87.wav, from the consumer back it is the latter which has prompted,../project_data/converted/p226/converted_b_asr_cyc_3.wav, from the consumer back it is the latter which has prompted,90.90909
p225,p226,3,norm,../project_data/source/p225/87.wav, from the consumer back it is the latter which has prompted,../project_data/converted/p226/converted_b_norm_3.wav, from the consumer bike it's a letter which has promised,45.45455
p225,p226,3,norm_cyc,../project_data/source/p225/87.wav, from the consumer back it is the latter which has prompted,../project_data/converted/p226/converted_b_norm_cyc_3.wav, from the consumer back it is the latter which has prompted,90.90909
p225,p226,3,adv,../project_data/source/p225/87.wav, from the consumer back it is the latter which has prompted,../project_data/converted/p226/converted_b_adv_3.wav, from the consumer back it is the latter which has prompted,90.90909
p226,p225,4,all,../project_data/source/p226/2.wav, she is well balanced it just came into,../project_data/converted/p225/converted_a_all_in_one_4.wav, fence she is well balanced it just came into,88.88889
p226,p225,4,asr,../project_data/source/p226/2.wav, she is well balanced it just came into,../project_data/converted/p225/converted_a_asr_4.wav, i don't know,0.0
p226,p225,4,asr_cyc,../project_data/source/p226/2.wav, she is well balanced it just came into,../project_data/converted/p225/converted_a_asr_cyc_4.wav, fenced she is well balanced it just came into,88.88889
p226,p225,4,norm,../project_data/source/p226/2.wav, she is well balanced it just came into,../project_data/converted/p225/converted_a_norm_4.wav, she is well balanced it just gave me some hope,60.0
p226,p225,4,norm_cyc,../project_data/source/p226/2.wav, she is well balanced it just came into,../project_data/converted/p225/converted_a_norm_cyc_4.wav, fence she is well balanced it just came into,88.88889
p226,p225,4,adv,../project_data/source/p226/2.wav, she is well balanced it just came into,../project_data/converted/p225/converted_a_adv_4.wav, she is well balanced it just came into me,88.88889
p225,p226,4,all,../project_data/source/p225/57.wav, it's difficult to predict the future,../project_data/converted/p226/converted_b_all_in_one_4.wav, it's difficult to predict the future,100.0
p225,p226,4,asr,../project_data/source/p225/57.wav, it's difficult to predict the future,../project_data/converted/p226/converted_b_asr_4.wav, it's pretty good,16.66667
p225,p226,4,asr_cyc,../project_data/source/p225/57.wav, it's difficult to predict the future,../project_data/converted/p226/converted_b_asr_cyc_4.wav, it's difficult to predict the future,100.0
p225,p226,4,norm,../project_data/source/p225/57.wav, it's difficult to predict the future,../project_data/converted/p226/converted_b_norm_4.wav, it's difficult to predict the future,100.0
p225,p226,4,norm_cyc,../project_data/source/p225/57.wav, it's difficult to predict the future,../project_data/converted/p226/converted_b_norm_cyc_4.wav, it's difficult to predict the future,100.0
p225,p226,4,adv,../project_data/source/p225/57.wav, it's difficult to predict the future,../project_data/converted/p226/converted_b_adv_4.wav, it's difficult to predict the future,100.0
p226,p225,5,all,../project_data/source/p226/138.wav, these days are long gone this represents,../project_data/converted/p225/converted_a_all_in_one_5.wav, these days are long gone this represents,100.0
p226,p225,5,asr,../project_data/source/p226/138.wav, these days are long gone this represents,../project_data/converted/p225/converted_a_asr_5.wav, the sds that's right yeah,0.0
p226,p225,5,asr_cyc,../project_data/source/p226/138.wav, these days are long gone this represents,../project_data/converted/p225/converted_a_asr_cyc_5.wav, these days are long gone this represents,100.0
p226,p225,5,norm,../project_data/source/p226/138.wav, these days are long gone this represents,../project_data/converted/p225/converted_a_norm_5.wav, these days are gone gone this friend said,62.5
p226,p225,5,norm_cyc,../project_data/source/p226/138.wav, these days are long gone this represents,../project_data/converted/p225/converted_a_norm_cyc_5.wav, these days are long gone this represents,100.0
p226,p225,5,adv,../project_data/source/p226/138.wav, these days are long gone this represents,../project_data/converted/p225/converted_a_adv_5.wav, these days are long gone this represents,100.0
p225,p226,5,all,../project_data/temp/p225/18.wav, he is delighted and he has every right to be,../project_data/converted/p226/converted_b_all_in_one_5.wav, he is delighted and he has every right to be,90.0
p225,p226,5,asr,../project_data/temp/p225/18.wav, he is delighted and he has every right to be,../project_data/converted/p226/converted_b_asr_5.wav, i love you so much i love you so much i love you so much,0.0
p225,p226,5,asr_cyc,../project_data/temp/p225/18.wav, he is delighted and he has every right to be,../project_data/converted/p226/converted_b_asr_cyc_5.wav, he is delighted and he has every right to be,90.0
p225,p226,5,norm,../project_data/temp/p225/18.wav, he is delighted and he has every right to be,../project_data/converted/p226/converted_b_norm_5.wav, he is delighted and he has every right to be,90.0
p225,p226,5,norm_cyc,../project_data/temp/p225/18.wav, he is delighted and he has every right to be,../project_data/converted/p226/converted_b_norm_cyc_5.wav, he is delighted and he has every right to be,90.0
p225,p226,5,adv,../project_data/temp/p225/18.wav, he is delighted and he has every right to be,../project_data/converted/p226/converted_b_adv_5.wav, he is delighted and he has every right to be,90.0
p226,p225,6,all,../project_data/source/p226/14.wav, you must have a government and a good civil service,../project_data/converted/p225/converted_a_all_in_one_6.wav, you must have a government and a good civil service,90.0
p226,p225,6,asr,../project_data/source/p226/14.wav, you must have a government and a good civil service,../project_data/converted/p225/converted_a_asr_6.wav, no no no,0.0
p226,p225,6,asr_cyc,../project_data/source/p226/14.wav, you must have a government and a good civil service,../project_data/converted/p225/converted_a_asr_cyc_6.wav, you must have a government and a good civil service,90.0
p226,p225,6,norm,../project_data/source/p226/14.wav, you must have a government and a good civil service,../project_data/converted/p225/converted_a_norm_6.wav, you must have a government when they get civil service,70.0
p226,p225,6,norm_cyc,../project_data/source/p226/14.wav, you must have a government and a good civil service,../project_data/converted/p225/converted_a_norm_cyc_6.wav, you must have a government and a good civil service,90.0
p226,p225,6,adv,../project_data/source/p226/14.wav, you must have a government and a good civil service,../project_data/converted/p225/converted_a_adv_6.wav, you must have a government and a good civil service,90.0
p225,p226,6,all,../project_data/source/p225/84.wav, i must do something about it the norseman considered,../project_data/converted/p226/converted_b_all_in_one_6.wav, i must do something about it,66.66667
p225,p226,6,asr,../project_data/source/p225/84.wav, i must do something about it the norseman considered,../project_data/converted/p226/converted_b_asr_6.wav, i'm sorry i'm sorry i'm sorry i'm sorry i'm sorry,0.0
p225,p226,6,asr_cyc,../project_data/source/p225/84.wav, i must do something about it the norseman considered,../project_data/converted/p226/converted_b_asr_cyc_6.wav, i must do something about it but no one can say,54.54545
p225,p226,6,norm,../project_data/source/p225/84.wav, i must do something about it the norseman considered,../project_data/converted/p226/converted_b_norm_6.wav, i must do something about it the norsing decision,77.77778
p225,p226,6,norm_cyc,../project_data/source/p225/84.wav, i must do something about it the norseman considered,../project_data/converted/p226/converted_b_norm_cyc_6.wav, i must do something about it,66.66667
p225,p226,6,adv,../project_data/source/p225/84.wav, i must do something about it the norseman considered,../project_data/converted/p226/converted_b_adv_6.wav, i must do something about it,66.66667
p226,p225,7,all,../project_data/source/p226/141.wav, but no such amendment has been brought before the scottish parliament,../project_data/converted/p225/converted_a_all_in_one_7.wav, but no such amendment has been brought before the,81.81818
p226,p225,7,asr,../project_data/source/p226/141.wav, but no such amendment has been brought before the scottish parliament,../project_data/converted/p225/converted_a_asr_7.wav, right? stop,0.0
p226,p225,7,asr_cyc,../project_data/source/p226/141.wav, but no such amendment has been brought before the scottish parliament,../project_data/converted/p225/converted_a_asr_cyc_7.wav, but no such amendment has been brought before the,81.81818
p226,p225,7,norm,../project_data/source/p226/141.wav, but no such amendment has been brought before the scottish parliament,../project_data/converted/p225/converted_a_norm_7.wav, and no such amendment has been brought before the scottish,81.81818
p226,p225,7,norm_cyc,../project_data/source/p226/141.wav, but no such amendment has been brought before the scottish parliament,../project_data/converted/p225/converted_a_norm_cyc_7.wav, but no such amendment has been brought before the,81.81818
p226,p225,7,adv,../project_data/source/p226/141.wav, but no such amendment has been brought before the scottish parliament,../project_data/converted/p225/converted_a_adv_7.wav, but no such amendment has been brought before the scottish government,90.90909
p225,p226,7,all,../project_data/source/p225/35.wav, and we will go meet her wednesday at the train station,../project_data/converted/p226/converted_b_all_in_one_7.wav, and we will go meet her wednesday at the train station,100.0
p225,p226,7,asr,../project_data/source/p225/35.wav, and we will go meet her wednesday at the train station,../project_data/converted/p226/converted_b_asr_7.wav, i miss penn i miss penn too,0.0
p225,p226,7,asr_cyc,../project_data/source/p225/35.wav, and we will go meet her wednesday at the train station,../project_data/converted/p226/converted_b_asr_cyc_7.wav, only we'll get to meet on wednesday at the train station,54.54545
p225,p226,7,norm,../project_data/source/p225/35.wav, and we will go meet her wednesday at the train station,../project_data/converted/p226/converted_b_norm_7.wav, and we were going to meet him wednesday at the trite section,50.0
p225,p226,7,norm_cyc,../project_data/source/p225/35.wav, and we will go meet her wednesday at the train station,../project_data/converted/p226/converted_b_norm_cyc_7.wav, and we will go meet her wednesday at the train station,100.0
p225,p226,7,adv,../project_data/source/p225/35.wav, and we will go meet her wednesday at the train station,../project_data/converted/p226/converted_b_adv_7.wav, and we will go and meet her wednesday at the train station,91.66667
p226,p225,8,all,../project_data/temp/p226/85.wav, a helpline number is published at the end of this article,../project_data/converted/p225/converted_a_all_in_one_8.wav, a helpline number is published at the end of this article',90.90909
p226,p225,8,asr,../project_data/temp/p226/85.wav, a helpline number is published at the end of this article,../project_data/converted/p225/converted_a_asr_8.wav, i hope you're still with us,0.0
p226,p225,8,asr_cyc,../project_data/temp/p226/85.wav, a helpline number is published at the end of this article,../project_data/converted/p225/converted_a_asr_cyc_8.wav, a helpline number is published at the end of this article,100.0
p226,p225,8,norm,../project_data/temp/p226/85.wav, a helpline number is published at the end of this article,../project_data/converted/p225/converted_a_norm_8.wav, the whole blind number is published at the end of this article,75.0
p226,p225,8,norm_cyc,../project_data/temp/p226/85.wav, a helpline number is published at the end of this article,../project_data/converted/p225/converted_a_norm_cyc_8.wav, a helpline number is published at the end of this article,100.0
p226,p225,8,adv,../project_data/temp/p226/85.wav, a helpline number is published at the end of this article,../project_data/converted/p225/converted_a_adv_8.wav, a helpline number is published at the end of this article,100.0
p225,p226,8,all,../project_data/temp/p225/10.wav, in existence for alan the,../project_data/converted/p226/converted_b_all_in_one_8.wav, in existence for alan that,80.0
p225,p226,8,asr,../project_data/temp/p225/10.wav, in existence for alan the,../project_data/converted/p226/converted_b_asr_8.wav, and like this and this and this and blah blah blah yeah,0.0
p225,p226,8,asr_cyc,../project_data/temp/p225/10.wav, in existence for alan the,../project_data/converted/p226/converted_b_asr_cyc_8.wav, in existence for adam yeah,60.0
p225,p226,8,norm,../project_data/temp/p225/10.wav, in existence for alan the,../project_data/converted/p226/converted_b_norm_8.wav, in existence and yeah,40.0
p225,p226,8,norm_cyc,../project_data/temp/p225/10.wav, in existence for alan the,../project_data/converted/p226/converted_b_norm_cyc_8.wav, in existence for adam that,60.0
p225,p226,8,adv,../project_data/temp/p225/10.wav, in existence for alan the,../project_data/converted/p226/converted_b_adv_8.wav, in existence rather than yeah,40.0
p226,p225,9,all,../project_data/source/p226/124.wav, russian officials have not determined the cause,../project_data/converted/p225/converted_a_all_in_one_9.wav, russian officials have not determined the cause,100.0
p226,p225,9,asr,../project_data/source/p226/124.wav, russian officials have not determined the cause,../project_data/converted/p225/converted_a_asr_9.wav, i don't have time to do that,14.28571
p226,p225,9,asr_cyc,../project_data/source/p226/124.wav, russian officials have not determined the cause,../project_data/converted/p225/converted_a_asr_cyc_9.wav, russian officials have not determined the cause,100.0
p226,p225,9,norm,../project_data/source/p226/124.wav, russian officials have not determined the cause,../project_data/converted/p225/converted_a_norm_9.wav, if russian officials have not determined the cause,87.5
p226,p225,9,norm_cyc,../project_data/source/p226/124.wav, russian officials have not determined the cause,../project_data/converted/p225/converted_a_norm_cyc_9.wav, russian officials have not determined the cause,100.0
p226,p225,9,adv,../project_data/source/p226/124.wav, russian officials have not determined the cause,../project_data/converted/p225/converted_a_adv_9.wav, russian officials have not determined the cause,100.0
p225,p226,9,all,../project_data/source/p225/44.wav, i came into,../project_data/converted/p226/converted_b_all_in_one_9.wav, i came in,66.66667
p225,p226,9,asr,../project_data/source/p225/44.wav, i came into,../project_data/converted/p226/converted_b_asr_9.wav, not so much,0.0
p225,p226,9,asr_cyc,../project_data/source/p225/44.wav, i came into,../project_data/converted/p226/converted_b_asr_cyc_9.wav, i came in,66.66667
p225,p226,9,norm,../project_data/source/p225/44.wav, i came into,../project_data/converted/p226/converted_b_norm_9.wav, i came in,66.66667
p225,p226,9,norm_cyc,../project_data/source/p225/44.wav, i came into,../project_data/converted/p226/converted_b_norm_cyc_9.wav, i came in,66.66667
p225,p226,9,adv,../project_data/source/p225/44.wav, i came into,../project_data/converted/p226/converted_b_adv_9.wav, i came in,66.66667
